record_id,automated_signal,direction,year,title,doi,pmid,pmcid,arxiv_id,url,retrieval_provenance,screening_status
3db209575dbdffe4,high,active_observational_sensing,2026,3D-Printed Anisotropic Soft Magnetic Coating for Directional Rolling of a Magnetically Actuated Capsule Robot,,,,2602.10688v1,http://arxiv.org/abs/2602.10688v1,arXiv:capsule-and-luminal-robots,awaiting_human_title_abstract_screen
12586469f5b23954,high,active_observational_sensing,2026,A Compliant SMA-Actuated Capsule Robot with Integrated Locomotion and Steering for Wireless Capsule Endoscopy.,10.3390/mi17040471,42076247,,,https://doi.org/10.3390/mi17040471,Europe PMC:capsule-and-luminal-robots,awaiting_human_title_abstract_screen
6576c3ba3d5c1362,high,active_observational_sensing,2026,A Dataset for Depth in Robotic Endoscopy with Dynamic Scenarios (DRENDS).,10.1038/s41597-026-07775-2,42575900,,,https://doi.org/10.1038/s41597-026-07775-2,Europe PMC:embodied-endoscopy;PubMed:embodied-endoscopy,awaiting_human_title_abstract_screen
b32d64938d9fa564,high,sample_based_interactive_diagnosis,2026,A Framework for CT-Guided Robotic Biopsy: System Validation and a Physics-Informed Neural Network for Inverse Kinematics.,10.1007/978-3-032-29494-4_4,,,,https://doi.org/10.1007/978-3-032-29494-4_4,OpenAlex:diagnostic-sampling,awaiting_human_title_abstract_screen
6db2f21f60a2f755,high,active_observational_sensing,2026,A Preclinical Multifunctional Capsule Robot with Unified Diagnosis and Targeted Thermal Therapy for Gastrointestinal Diseases.,10.1002/advs.77508,42702869,PMC13547721,,https://pubmed.ncbi.nlm.nih.gov/42702869/,PubMed:capsule-and-luminal-robots,awaiting_human_title_abstract_screen
b0a42227873142b2,high,active_observational_sensing,2026,A Review and Perspective of Techniques for Autonomous Robotic Ultrasound Acquisitions.,10.3390/s26072081,41977866,,,https://doi.org/10.3390/s26072081,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound,awaiting_human_title_abstract_screen
658b57f87b296864,high,active_observational_sensing,2026,A Robotic Ultrasound System for Automated Abdominal Aorta Screening: Feasibility Study in Healthy Volunteers.,10.3390/s26144452,42515336,,,https://doi.org/10.3390/s26144452,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound,awaiting_human_title_abstract_screen
08ac41def0de665f,high,active_observational_sensing,2026,A novel wearable interface based on IMUs for robotic endoscopy.,10.1007/s11548-026-03654-8,42036528,,,https://doi.org/10.1007/s11548-026-03654-8,Europe PMC:embodied-endoscopy;PubMed:embodied-endoscopy,awaiting_human_title_abstract_screen
198126f60189fab4,high,active_observational_sensing,2026,AURA-CVC: Autonomous Ultrasound-guided Robotic Assistance for Central Venous Catheterization.,10.1007/s11548-026-03572-9,41739357,,2507.05979v2,https://doi.org/10.1007/s11548-026-03572-9,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound;arXiv:robotic-ultrasound,awaiting_human_title_abstract_screen
3028ff6b9b452c33,high,active_observational_sensing,2026,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,,,,2607.21918v2,http://arxiv.org/abs/2607.21918v2,arXiv:robotic-ultrasound,awaiting_human_title_abstract_screen
