record_id,automated_signal,direction,year,title,doi,pmid,pmcid,arxiv_id,url,retrieval_provenance,screening_status,future_year_flag
dc7c345fba0befd8,low,active_observational_sensing,2027,Disseminated Angiosarcoma With Multifocal Small-Bowel Involvement Presenting as Suspected Small-Bowel Bleeding.,10.1002/deo2.70408,42694738,PMC13540639,,https://pubmed.ncbi.nlm.nih.gov/42694738/,PubMed:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
d9beab36a29046b7,low,active_observational_sensing,2027,Endoscopic Diagnosis of &lt;i&gt;Necator americanus&lt;/i&gt; Infection Presenting With Persistent Iron-Deficiency Anemia: Usefulness of Image-Enhanced Endoscopy and Capsule Endoscopy.,10.1002/deo2.70352,42256607,,,https://doi.org/10.1002/deo2.70352,Europe PMC:capsule-and-luminal-robots;PubMed:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
36117b88fa7036ec,low,active_observational_sensing,2027,Improved Efficiency and Lesion Detection in Small Bowel Capsule Endoscopy Using the Open-Source Artificial Intelligence Model SEE-AI.,10.1002/deo2.70346,42148037,PMC13177839,,https://pubmed.ncbi.nlm.nih.gov/42148037/,PubMed:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
c9fe4371c65cf2f2,low,active_observational_sensing,2027,On the Clinical Utility of Hybrid Endoscopy in Crohn's Disease.,10.1002/deo2.70339,42256609,,,https://doi.org/10.1002/deo2.70339,Europe PMC:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
91dad0900b0736cb,low,active_observational_sensing,2027,"Open-Source Artificial Intelligence in Small-Bowel Capsule Endoscopy-Visual Assistance is Promising, But Not Yet a Standard of Care.",10.1002/deo2.70359,42311608,,,https://doi.org/10.1002/deo2.70359,Europe PMC:capsule-and-luminal-robots;PubMed:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
123ff8a38ee60291,low,active_observational_sensing,2027,Risk Stratification for Rebleeding in Obscure Gastrointestinal Bleeding After Comprehensive Gastrointestinal Evaluation.,10.1002/deo2.70378,42440754,,,https://doi.org/10.1002/deo2.70378,Europe PMC:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
71d3a7a1a50052d2,low,active_observational_sensing,2027,Two Contrasting Scintigraphy-Negative Pediatric Meckel's Diverticula Identified and Localized by Intestinal Ultrasound and Double-Balloon Enteroscopy: A Report of Two Cases.,10.1002/deo2.70379,42445836,,,https://doi.org/10.1002/deo2.70379,Europe PMC:capsule-and-luminal-robots,awaiting_human_title_abstract_screen,True
223da3e7e56ffe78,low,laboratory_diagnostics,2027,CRISPR-based diagnostics for ESKAPE drug-resistant bacteria: From proof-of-concept to point-of-care.,10.1016/j.talanta.2026.130240,42407157,,,https://pubmed.ncbi.nlm.nih.gov/42407157/,PubMed:adaptive-microfluidic-diagnostics,awaiting_human_title_abstract_screen,True
1c9eda48bf38f099,possible,laboratory_diagnostics,2027,Decoding biochemical fingerprints: Artificial intelligence-empowered Raman spectroscopy for rapid phenotypic antimicrobial susceptibility testing.,10.1016/j.talanta.2026.130270,42424883,,,https://pubmed.ncbi.nlm.nih.gov/42424883/,PubMed:adaptive-microfluidic-diagnostics,awaiting_human_title_abstract_screen,True
3e62a6dadb25c311,low,laboratory_diagnostics,2027,The next frontier in forensic genetics: Single-cell genetic analysis and its expanding role.,10.1016/j.fsigen.2026.103568,42308705,,,https://pubmed.ncbi.nlm.nih.gov/42308705/,PubMed:adaptive-microfluidic-diagnostics,awaiting_human_title_abstract_screen,True
212e6e067240c0ab,low,sample_based_interactive_diagnosis,2027,Mulberry leaf flavonoids alleviate type 2 diabetes by remodeling the gut microbiota-bile acid axis and activating FXR signaling.,10.1016/j.jep.2026.122237,42503322,,,https://pubmed.ncbi.nlm.nih.gov/42503322/,PubMed:diagnostic-sampling,awaiting_human_title_abstract_screen,True
